iter	Passed	Remaining
309	1548	948
310	1552	943
311	1556	938
312	1560	932
313	1565	927
314	1569	922
315	1574	916
316	1578	911
317	1583	906
318	1588	901
319	1593	896
320	1598	891
321	1602	885
322	1607	880
323	1612	875
324	1617	871
325	1622	865
326	1627	860
327	1631	855
328	1636	850
329	1640	844
330	1645	840
331	1650	835
332	1655	830
333	1659	824
334	1663	819
335	1668	814
336	1674	809
337	1678	804
338	1683	799
339	1687	794
340	1692	789
341	1697	784
342	1701	778
343	1706	773
344	1710	768
345	1717	764
346	1724	760
347	1729	755
348	1734	750
349	1738	744
350	1742	739
351	1748	735
352	1753	730
353	1758	725
354	1763	720
355	1768	715
356	1773	710
357	1778	705
358	1783	700
359	1787	695
360	1791	689
361	1795	684
362	1801	680
363	1806	674
364	1810	669
365	1814	664
366	1819	659
367	1824	654
368	1830	649
369	1835	645
370	1839	639
371	1843	634
372	1852	630
373	1857	625
374	1861	620
375	1866	615
376	1870	610
377	1875	605
378	1881	600
379	1885	595
380	1889	590
381	1894	585
382	1899	580
383	1905	575
384	1910	570
385	1914	565
386	1918	560
387	1923	555
388	1928	550
389	1933	545
390	1938	540
391	1942	535
392	1945	529
393	1950	524
394	1955	519
395	1961	515
396	1965	509
397	1969	504
398	1975	499
399	1979	494
400	1984	489
401	1988	484
402	1992	479
403	1996	474
404	2000	469
405	2005	464
406	2010	459
407	2016	454
408	2021	449
409	2026	444
410	2032	440
411	2037	435
412	2041	430
413	2045	424
414	2049	419
415	2054	414
416	2059	409
417	2063	404
418	2069	400
419	2074	395
420	2080	390
421	2084	385
422	2088	380
423	2092	375
424	2097	370
425	2101	365
426	2107	360
427	2111	355
428	2116	350
429	2120	345
430	2124	340
431	2129	335
432	2134	330
433	2138	325
434	2144	320
435	2148	315
436	2153	310
437	2158	305
438	2164	300
439	2168	295
440	2172	290
441	2177	285
442	2181	280
443	2185	275
444	2191	270
445	2195	265
446	2202	261
447	2206	256
448	2209	250
449	2215	246
450	2219	241
451	2223	236
452	2230	231
453	2235	226
454	2239	221
455	2243	216
456	2247	211
457	2255	206
458	2261	202
459	2267	197
460	2271	192
461	2276	187
462	2280	182
463	2285	177
464	2291	172
465	2295	167
466	2300	162
467	2306	157
468	2311	152
469	2315	147
470	2320	142
471	2325	137
472	2329	132
473	2334	128
474	2337	123
475	2341	118
476	2346	113
477	2352	108
478	2356	103
479	2361	98
480	2367	93
481	2371	88
482	2375	83
483	2380	78
484	2385	73
485	2392	68
486	2397	63
487	2401	59
488	2405	54
489	2410	49
490	2415	44
491	2420	39
492	2426	34
493	2430	29
494	2434	24
495	2439	19
496	2444	14
497	2449	9
498	2454	4
499	2458	0
