iter	RMSE
216	0.6447386907
217	0.6445317558
218	0.6444843879
219	0.6442239744
220	0.6436183365
221	0.643508289
222	0.6434163888
223	0.643383447
224	0.6433233262
225	0.6432913183
226	0.642907008
227	0.6427488754
228	0.6426805126
229	0.6423735364
230	0.6422774476
231	0.6420979552
232	0.641989426
233	0.6419624572
234	0.6417389369
235	0.6415487913
236	0.6414951046
237	0.6414092287
238	0.6411026597
239	0.6410155637
240	0.6409400383
241	0.6407915295
242	0.640706124
243	0.6405997444
244	0.6404178693
245	0.6403098533
246	0.6400085187
247	0.6399203796
248	0.6398341055
249	0.639707297
250	0.6394993173
251	0.6394614344
252	0.6392653979
253	0.6392373149
254	0.6390449814
255	0.639035356
256	0.6389217729
257	0.6387382972
258	0.6385878306
259	0.6385021158
260	0.6383581864
261	0.6383492802
262	0.6382987288
263	0.6382268
264	0.6379154372
265	0.6377387423
266	0.6376360809
267	0.6375719601
268	0.6374394075
269	0.6372500631
270	0.637158686
271	0.6370943933
272	0.6370013246
273	0.6369496529
274	0.6368717981
275	0.6367218358
276	0.6365885442
277	0.6363785889
278	0.6362602664
279	0.6361004475
280	0.6360381754
281	0.6359482977
282	0.6358786218
283	0.6358235191
284	0.6355907161
285	0.6355893184
286	0.6330743973
287	0.6328321498
288	0.6326496898
289	0.6324907433
290	0.6323650044
291	0.6322626563
292	0.6321113909
293	0.6319169233
294	0.6318222992
295	0.6316839038
296	0.6315903738
297	0.6314834381
298	0.631409755
299	0.6312176977
300	0.6310425538
301	0.6309644051
302	0.6309289663
303	0.6302468925
304	0.6300785601
305	0.629988722
306	0.6286170178
307	0.6280654073
308	0.6279373097
309	0.6278513279
310	0.6276097192
311	0.6274720182
312	0.6272811765
313	0.6270194728
314	0.6267818523
315	0.6267501443
316	0.6266211535
317	0.6265818113
318	0.6261299251
319	0.6257471872
320	0.6255880526
321	0.6254281971
322	0.62535564
323	0.6252102229
324	0.6250796104
325	0.624879421
326	0.6248448395
327	0.6246764766
328	0.6246469081
329	0.6244981305
330	0.6244256522
331	0.6243768909
332	0.6242613382
333	0.6241588761
334	0.6240594099
335	0.6237042291
336	0.6234388883
337	0.6232720977
338	0.6231657163
339	0.6230615251
340	0.6229177497
341	0.6227971109
342	0.6226487297
343	0.6225242527
344	0.6224060988
345	0.622285089
346	0.6220459723
347	0.6218869562
348	0.6217592425
349	0.6216232297
350	0.6215599912
351	0.6213920534
352	0.6213508471
353	0.621273736
354	0.6212338658
355	0.6210508719
356	0.6209371121
357	0.6207831565
358	0.6207562659
359	0.6206492341
360	0.6205486262
361	0.6205044018
362	0.620438981
363	0.620347244
364	0.620279077
365	0.6201711195
366	0.620096285
367	0.6199960888
368	0.6196713949
369	0.6195300391
370	0.6194447699
371	0.6192587855
372	0.6185394153
373	0.6183595872
374	0.6182932723
375	0.6181814752
376	0.6179973725
377	0.6178861734
378	0.617757108
379	0.6177165454
380	0.6176557594
381	0.6176037789
382	0.6174876124
383	0.6159282852
384	0.6157859026
385	0.6157010134
386	0.6156086794
387	0.6154401582
388	0.6153298334
389	0.6152822707
390	0.6151266669
391	0.615069377
392	0.6149115389
393	0.6148273872
394	0.6147423086
395	0.6146560828
396	0.614579907
397	0.6144949661
398	0.6143550362
399	0.6143146943
400	0.6142123742
401	0.6140905902
402	0.6140382042
403	0.6139219995
404	0.6138414521
405	0.613726197
406	0.613473181
407	0.613410918
408	0.6133130855
409	0.6132123374
410	0.6131679181
411	0.6131298111
412	0.6130100512
413	0.6130032571
414	0.6129012949
415	0.6127396145
416	0.6126885244
417	0.6125617912
418	0.6125467056
419	0.6125125961
420	0.6124826404
421	0.6124026757
422	0.6122915647
423	0.6122505155
424	0.6121370238
425	0.6120031032
426	0.6119215655
427	0.6118701776
428	0.61178958
429	0.6117142665
430	0.6116176922
431	0.6115820366
432	0.6112488062
433	0.6111421712
434	0.6110554505
435	0.610988058
436	0.610936147
437	0.6108711881
438	0.6108161048
439	0.6107713795
440	0.6106782322
441	0.6105571418
442	0.6104897641
443	0.6103341221
444	0.6102689478
445	0.6101827402
446	0.6101141217
447	0.6099788413
448	0.6098840336
449	0.6098071509
450	0.6096296504
451	0.6095195408
452	0.6062295537
453	0.6059941441
454	0.6057555136
455	0.6056297624
456	0.6055306067
457	0.6040180027
458	0.603920017
459	0.6036774692
460	0.6036035084
461	0.6035232729
462	0.6033621575
463	0.6031903494
464	0.6030284492
465	0.6028703986
466	0.602779177
467	0.6027403455
468	0.6026909222
469	0.6026687324
470	0.6026151857
471	0.6025282866
472	0.6024354581
473	0.6023713738
474	0.6021220768
475	0.6019601155
476	0.6017821879
477	0.6017381738
478	0.6016843323
479	0.6015610071
480	0.6014802642
481	0.6013655188
482	0.6012696718
483	0.6011889457
484	0.6009864694
485	0.6009186708
486	0.600851631
487	0.600744056
488	0.6006445311
489	0.6006168378
490	0.6005526056
491	0.6004928971
492	0.6004056987
493	0.6003121061
494	0.600296855
495	0.6002062934
496	0.6001580965
497	0.5998622944
498	0.5997859382
499	0.5997198829
